station_id,fuel_code,price_eur,date
2190,dizel,1.894,2026-04-08
2190,100,1.905,2026-04-08
2190,KOEL,1.555,2026-04-08
2191,95,1.653,2026-04-08
2191,dizel,1.894,2026-04-08
2191,100,1.905,2026-04-08
2191,KOEL,1.555,2026-04-08
2192,95,1.653,2026-04-08
2192,dizel,1.894,2026-04-08
2192,100,1.905,2026-04-08
2192,KOEL,1.555,2026-04-08
2193,95,1.653,2026-04-08
2193,dizel,1.894,2026-04-08
2193,KOEL,1.555,2026-04-08
2194,95,1.653,2026-04-08
2194,dizel,1.894,2026-04-08
2194,100,1.905,2026-04-08
2195,95,1.653,2026-04-08
2195,dizel,1.894,2026-04-08
2195,100,1.905,2026-04-08
2195,KOEL,1.555,2026-04-08
2196,95,1.653,2026-04-08
2196,dizel,1.894,2026-04-08
2196,100,1.905,2026-04-08
2196,KOEL,1.555,2026-04-08
2197,95,1.653,2026-04-08
2197,dizel,1.894,2026-04-08
2197,100,1.905,2026-04-08
2197,avtoplin-lpg,1.049,2026-04-08
2198,95,1.653,2026-04-08
2198,dizel,1.894,2026-04-08
2198,100,1.905,2026-04-08
2198,KOEL,1.555,2026-04-08
2199,95,1.653,2026-04-08
2199,dizel,1.894,2026-04-08
2199,100,1.905,2026-04-08
2199,dizel-premium,2.369,2026-04-08
2200,95,1.653,2026-04-08
2200,dizel,1.894,2026-04-08
2200,100,1.905,2026-04-08
2200,avtoplin-lpg,1.049,2026-04-08
2203,95,1.653,2026-04-08
2203,dizel,1.894,2026-04-08
2203,KOEL,1.555,2026-04-08
2204,95,1.653,2026-04-08
2204,dizel,1.894,2026-04-08
2204,100,1.905,2026-04-08
2205,95,1.653,2026-04-08
2205,dizel,1.894,2026-04-08
2205,100,1.905,2026-04-08
2205,KOEL,1.555,2026-04-08
2206,95,1.653,2026-04-08
2206,dizel,1.894,2026-04-08
2206,100,1.905,2026-04-08
2206,KOEL,1.555,2026-04-08
2207,95,1.653,2026-04-08
2207,dizel,1.894,2026-04-08
2207,100,1.905,2026-04-08
2207,avtoplin-lpg,1.049,2026-04-08
2208,95,1.653,2026-04-08
2208,dizel,1.894,2026-04-08
2208,KOEL,1.555,2026-04-08
2209,95,1.653,2026-04-08
2209,dizel,1.894,2026-04-08
2209,KOEL,1.555,2026-04-08
2210,95,1.653,2026-04-08
2210,dizel,1.894,2026-04-08
2210,100,1.905,2026-04-08
2210,KOEL,1.555,2026-04-08
2211,95,1.653,2026-04-08
2211,dizel,1.894,2026-04-08
2211,KOEL,1.555,2026-04-08
2212,95,1.653,2026-04-08
2212,dizel,1.894,2026-04-08
2212,100,1.905,2026-04-08
2212,avtoplin-lpg,1.049,2026-04-08
2212,KOEL,1.555,2026-04-08
2213,95,1.653,2026-04-08
2213,dizel,1.894,2026-04-08
2213,KOEL,1.555,2026-04-08
2214,95,1.653,2026-04-08
2214,dizel,1.894,2026-04-08
